Match URL,Team 1,Team 2,Score 1,Score 2,Event,Date
https://www.hltv.org/matches/2379518/bluejays-vs-marsborne-esl-challenger-league-season-49-north-america,BLUEJAYS,Marsborne,9,13,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379828/nyx-empyre-vs-supernova-comets-esl-impact-league-season-7-north-america,Nyx Empyre,Supernova Comets,0,2,ESL Impact League Season 7 North America,2025-02-26
https://www.hltv.org/matches/2379570/sharks-vs-oddik-esl-challenger-league-season-49-south-america,Sharks,ODDIK,6,13,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379569/bounty-hunters-vs-solid-esl-challenger-league-season-49-south-america,Bounty Hunters,Solid,13,6,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379568/floripa-stars-vs-adalyamigos-esl-challenger-league-season-49-south-america,Floripa Stars,adalYamigos,5,13,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379824/quem-sao-elas-vs-atrix-esl-impact-league-season-7-south-america,Quem Sao Elas,Atrix,1,2,ESL Impact League Season 7 South America,2025-02-26
https://www.hltv.org/matches/2379565/oddik-vs-sharks-esl-challenger-league-season-49-south-america,ODDIK,Sharks,13,8,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379563/adalyamigos-vs-floripa-stars-esl-challenger-league-season-49-south-america,adalYamigos,Floripa Stars,10,13,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379564/solid-vs-bounty-hunters-esl-challenger-league-season-49-south-america,Solid,Bounty Hunters,13,10,ESL Challenger League Season 49 South America,2025-02-26
https://www.hltv.org/matches/2379811/uno-mille-vs-prasso-cct-season-2-south-america-series-8,UNO MILLE,Prasso,2,0,CCT Season 2 South America Series 8,2025-02-26
https://www.hltv.org/matches/2379823/furia-fe-vs-brave-bears-esl-impact-league-season-7-south-america,FURIA fe,Brave Bears,2,0,ESL Impact League Season 7 South America,2025-02-26
https://www.hltv.org/matches/2379800/aurora-vs-rebels-esl-challenger-league-season-49-europe,Aurora,Rebels,2,1,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379796/b8-vs-rush-b-esl-challenger-league-season-49-europe,B8,RUSH B,2,1,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379797/arcred-vs-zero-tenacity-esl-challenger-league-season-49-europe,ARCRED,Zero Tenacity,1,2,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379636/fnatic-vs-bcgame-cct-season-2-europe-series-19,fnatic,BC.Game,2,1,CCT Season 2 Europe Series 19,2025-02-26
https://www.hltv.org/matches/2379727/ecstatic-vs-alaska-cct-season-2-europe-series-20-closed-qualifier,ECSTATIC,ALASKA,2,0,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379799/favbet-vs-gun5-esl-challenger-league-season-49-europe,FAVBET,GUN5,2,0,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379801/navi-junior-vs-gameagents-esl-challenger-league-season-49-europe,NAVI Junior,GameAgents,2,0,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379798/iberian-soul-vs-spirit-academy-esl-challenger-league-season-49-europe,Iberian Soul,Spirit Academy,0,2,ESL Challenger League Season 49 Europe,2025-02-26
https://www.hltv.org/matches/2379819/cs2news-ladies-vs-spray-and-slay-esl-impact-league-season-7-europe,CS2News Ladies,Spray and Slay,0,2,ESL Impact League Season 7 Europe,2025-02-26
https://www.hltv.org/matches/2379820/big-equipa-vs-nip-impact-esl-impact-league-season-7-europe,BIG EQUIPA,NIP Impact,0,2,ESL Impact League Season 7 Europe,2025-02-26
https://www.hltv.org/matches/2379810/elevate-vs-bounty-hunters-fe-cct-season-2-south-america-series-8,Elevate,Bounty Hunters fe,2,0,CCT Season 2 South America Series 8,2025-02-26
https://www.hltv.org/matches/2379635/navi-junior-vs-parivision-cct-season-2-europe-series-19,NAVI Junior,PARIVISION,2,1,CCT Season 2 Europe Series 19,2025-02-26
https://www.hltv.org/matches/2379726/favbet-vs-rush-b-cct-season-2-europe-series-20-closed-qualifier,FAVBET,RUSH B,2,1,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379687/leo-vs-johnny-speeds-united21-league-season-27,Leo,Johnny Speeds,2,0,United21 League Season 27,2025-02-26
https://www.hltv.org/matches/2379758/jijiehao-vs-al-ittihad-mesa-asian-masters-2025-mena-closed-qualifier,JiJieHao,Al-Ittihad,2,1,MESA Asian Masters 2025 MENA Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379634/gtz-vs-sashi-cct-season-2-europe-series-19,GTZ,Sashi,2,1,CCT Season 2 Europe Series 19,2025-02-26
https://www.hltv.org/matches/2379724/bcgame-vs-parivision-cct-season-2-europe-series-20-closed-qualifier,BC.Game,PARIVISION,1,2,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379688/genone-vs-kono-united21-league-season-27,GenOne,kONO,1,2,United21 League Season 27,2025-02-26
https://www.hltv.org/matches/2379706/the-huns-vs-nomads-esl-challenger-league-season-49-asia-pacific,The Huns,NomadS,13,9,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379709/rare-atom-vs-lynn-vision-esl-challenger-league-season-49-asia-pacific,Rare Atom,Lynn Vision,10,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379710/atox-vs-gods-reign-esl-challenger-league-season-49-asia-pacific,ATOX,Gods Reign,13,3,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379708/just-swing-vs-72c-esl-challenger-league-season-49-asia-pacific,Just Swing,-72c,6,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379701/nomads-vs-the-huns-esl-challenger-league-season-49-asia-pacific,NomadS,The Huns,13,16,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379705/gods-reign-vs-atox-esl-challenger-league-season-49-asia-pacific,Gods Reign,ATOX,4,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379703/72c-vs-just-swing-esl-challenger-league-season-49-asia-pacific,-72c,Just Swing,13,6,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379704/lynn-vision-vs-rare-atom-esl-challenger-league-season-49-asia-pacific,Lynn Vision,Rare Atom,3,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-26
https://www.hltv.org/matches/2379633/partizan-vs-500-cct-season-2-europe-series-19,Partizan,500,1,2,CCT Season 2 Europe Series 19,2025-02-26
https://www.hltv.org/matches/2379654/johnny-speeds-vs-preasy-european-pro-league-2nd-division-season-20,Johnny Speeds,Preasy,2,0,European Pro League 2nd Division Season 20,2025-02-26
https://www.hltv.org/matches/2379725/rhyno-vs-alliance-cct-season-2-europe-series-20-closed-qualifier,Rhyno,Alliance,1,2,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379750/gtz-vs-kono-yalla-compass-winter-2025,GTZ,kONO,2,1,YaLLa Compass Winter 2025,2025-02-26
https://www.hltv.org/matches/2379656/kzg-vs-underground-esl-challenger-league-season-49-oceania,KZG,Underground,13,8,ESL Challenger League Season 49 Oceania,2025-02-26
https://www.hltv.org/matches/2379757/mindshock-vs-al-ittihad-mesa-asian-masters-2025-mena-closed-qualifier,mindshock,Al-Ittihad,0,2,MESA Asian Masters 2025 MENA Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379658/rooster-vs-justice-for-tomorrow-esl-challenger-league-season-49-oceania,Rooster,Justice For Tomorrow,13,2,ESL Challenger League Season 49 Oceania,2025-02-26
https://www.hltv.org/matches/2379782/rare-atom-vs-shika-mesa-asian-masters-2025-china-closed-qualifier,Rare Atom,Shika,2,0,MESA Asian Masters 2025 China Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379655/underground-vs-kzg-esl-challenger-league-season-49-oceania,Underground,KZG,10,13,ESL Challenger League Season 49 Oceania,2025-02-26
https://www.hltv.org/matches/2379657/justice-for-tomorrow-vs-rooster-esl-challenger-league-season-49-oceania,Justice For Tomorrow,Rooster,1,13,ESL Challenger League Season 49 Oceania,2025-02-26
https://www.hltv.org/matches/2379769/hotu-vs-chinggis-warriors-mesa-asian-masters-2025-asia-closed-qualifier,HOTU,Chinggis Warriors,0,1,MESA Asian Masters 2025 Asia Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379781/ur-vs-dogevil-mesa-asian-masters-2025-china-closed-qualifier,UR,DogEvil,1,2,MESA Asian Masters 2025 China Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379795/kzg-vs-only-one-word-mesa-asian-masters-2025-oceania-closed-qualifier,KZG,Only One Word,0,2,MESA Asian Masters 2025 Oceania Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379768/eruption-vs-nomads-mesa-asian-masters-2025-asia-closed-qualifier,Eruption,NomadS,2,0,MESA Asian Masters 2025 Asia Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379780/fengda-vs-change-the-game-mesa-asian-masters-2025-china-closed-qualifier,FengDa,Change The Game,0,2,MESA Asian Masters 2025 China Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379794/only-one-word-vs-vantage-mesa-asian-masters-2025-oceania-closed-qualifier,Only One Word,Vantage,2,1,MESA Asian Masters 2025 Oceania Closed Qualifier,2025-02-26
https://www.hltv.org/matches/2379767/atox-vs-the-huns-mesa-asian-masters-2025-asia-closed-qualifier,ATOX,The Huns,2,0,MESA Asian Masters 2025 Asia Closed Qualifier,2025-02-25
https://www.hltv.org/matches/2379513/vagrants-vs-marsborne-esl-challenger-league-season-49-north-america,Vagrants,Marsborne,19,17,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379512/super-evil-gang-vs-party-astronauts-esl-challenger-league-season-49-north-america,SUPER EVIL GANG,Party Astronauts,13,8,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379514/lag-vs-akimbo-esl-challenger-league-season-49-north-america,LAG,Akimbo,4,13,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379511/chill-guys-vs-getting-info-esl-challenger-league-season-49-north-america,Chill Guys,Getting Info,13,8,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379510/incontrol-vs-nouns-esl-challenger-league-season-49-north-america,InControl,Nouns,0,13,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379508/akimbo-vs-lag-esl-challenger-league-season-49-north-america,Akimbo,LAG,13,7,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379504/nouns-vs-incontrol-esl-challenger-league-season-49-north-america,Nouns,InControl,13,6,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379506/party-astronauts-vs-super-evil-gang-esl-challenger-league-season-49-north-america,Party Astronauts,SUPER EVIL GANG,6,13,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379507/marsborne-vs-vagrants-esl-challenger-league-season-49-north-america,Marsborne,Vagrants,13,8,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379505/getting-info-vs-chill-guys-esl-challenger-league-season-49-north-america,Getting Info,Chill Guys,13,5,ESL Challenger League Season 49 North America,2025-02-25
https://www.hltv.org/matches/2379793/mantra-vs-kzg-mesa-asian-masters-2025-oceania-closed-qualifier,MANTRA,KZG,1,2,MESA Asian Masters 2025 Oceania Closed Qualifier,2025-02-25
https://www.hltv.org/matches/2379558/bestia-vs-sharks-esl-challenger-league-season-49-south-america,BESTIA,Sharks,1,13,ESL Challenger League Season 49 South America,2025-02-25
https://www.hltv.org/matches/2379553/sharks-vs-bestia-esl-challenger-league-season-49-south-america,Sharks,BESTIA,13,8,ESL Challenger League Season 49 South America,2025-02-25
https://www.hltv.org/matches/2379559/adalyamigos-vs-tropa-do-vsm-esl-challenger-league-season-49-south-america,adalYamigos,Tropa do VSM,13,3,ESL Challenger League Season 49 South America,2025-02-25
https://www.hltv.org/matches/2379554/tropa-do-vsm-vs-adalyamigos-esl-challenger-league-season-49-south-america,Tropa do VSM,adalYamigos,13,10,ESL Challenger League Season 49 South America,2025-02-25
